Column1,Time(sec)Min,Time(sec)Max,Time(sec)Std,Time(sec)Med,Time(sec)Avg,Time(sec)Skewness,Time(sec)Kurtosis,VGRF_left_s1Min,VGRF_left_s1Max,VGRF_left_s1Std,VGRF_left_s1Med,VGRF_left_s1Avg,VGRF_left_s1Skewness,VGRF_left_s1Kurtosis,VGRF_left_s2Min,VGRF_left_s2Max,VGRF_left_s2Std,VGRF_left_s2Med,VGRF_left_s2Avg,VGRF_left_s2Skewness,VGRF_left_s2Kurtosis,VGRF_left_s3Min,VGRF_left_s3Max,VGRF_left_s3Std,VGRF_left_s3Med,VGRF_left_s3Avg,VGRF_left_s3Skewness,VGRF_left_s3Kurtosis,VGRF_left_s4Min,VGRF_left_s4Max,VGRF_left_s4Std,VGRF_left_s4Med,VGRF_left_s4Avg,VGRF_left_s4Skewness,VGRF_left_s4Kurtosis,VGRF_left_s5Min,VGRF_left_s5Max,VGRF_left_s5Std,VGRF_left_s5Med,VGRF_left_s5Avg,VGRF_left_s5Skewness,VGRF_left_s5Kurtosis,VGRF_left_s6Min,VGRF_left_s6Max,VGRF_left_s6Std,VGRF_left_s6Med,VGRF_left_s6Avg,VGRF_left_s6Skewness,VGRF_left_s6Kurtosis,VGRF_left_s7Min,VGRF_left_s7Max,VGRF_left_s7Std,VGRF_left_s7Med,VGRF_left_s7Avg,VGRF_left_s7Skewness,VGRF_left_s7Kurtosis,VGRF_left_s8Min,VGRF_left_s8Max,VGRF_left_s8Std,VGRF_left_s8Med,VGRF_left_s8Avg,VGRF_left_s8Skewness,VGRF_left_s8Kurtosis,VGRF_right_s1Min,VGRF_right_s1Max,VGRF_right_s1Std,VGRF_right_s1Med,VGRF_right_s1Avg,VGRF_right_s1Skewness,VGRF_right_s1Kurtosis,VGRF_right_s2Min,VGRF_right_s2Max,VGRF_right_s2Std,VGRF_right_s2Med,VGRF_right_s2Avg,VGRF_right_s2Skewness,VGRF_right_s2Kurtosis,VGRF_right_s3Min,VGRF_right_s3Max,VGRF_right_s3Std,VGRF_right_s3Med,VGRF_right_s3Avg,VGRF_right_s3Skewness,VGRF_right_s3Kurtosis,VGRF_right_s4Min,VGRF_right_s4Max,VGRF_right_s4Std,VGRF_right_s4Med,VGRF_right_s4Avg,VGRF_right_s4Skewness,VGRF_right_s4Kurtosis,VGRF_right_s5Min,VGRF_right_s5Max,VGRF_right_s5Std,VGRF_right_s5Med,VGRF_right_s5Avg,VGRF_right_s5Skewness,VGRF_right_s5Kurtosis,VGRF_right_s6Min,VGRF_right_s6Max,VGRF_right_s6Std,VGRF_right_s6Med,VGRF_right_s6Avg,VGRF_right_s6Skewness,VGRF_right_s6Kurtosis,VGRF_right_s7Min,VGRF_right_s7Max,VGRF_right_s7Std,VGRF_right_s7Med,VGRF_right_s7Avg,VGRF_right_s7Skewness,VGRF_right_s7Kurtosis,VGRF_right_s8Min,VGRF_right_s8Max,VGRF_right_s8Std,VGRF_right_s8Med,VGRF_right_s8Avg,VGRF_right_s8Skewness,VGRF_right_s8Kurtosis,Total_force_leftMin,Total_force_leftMax,Total_force_leftStd,Total_force_leftMed,Total_force_leftAvg,Total_force_leftSkewness,Total_force_leftKurtosis,Total_force_rightMin,Total_force_rightMax,Total_force_rightStd,Total_force_rightMed,Total_force_rightAvg,Total_force_rightSkewness,Total_force_rightKurtosis,Status
0,0.01,121.1715,34.98064737,60.5908,60.59075866,4.29E-09,-1.20000002,0,480.92,140.2460705,20.9,118.0519401,0.728315389,-1.041309716,0,289.3,87.26751103,5.83,68.69207708,0.828221488,-0.904983833,0,214.39,59.76024055,7.26,48.42591599,0.812171063,-0.846402496,0,249.15,52.80691505,17.16,43.70341393,1.005201169,-0.047421814,0,100.87,23.73723163,10.56,20.6483834,0.899850418,-0.218442744,0,341.11,97.65915978,76.56,94.38472933,0.508276664,-1.115716927,0,503.14,111.1320916,63.69,93.85167684,1.16249905,0.528246267,0,176.44,35.47082813,24.64,32.88540683,0.72876543,-0.508081715,0,476.52,133.1800316,17.49,100.9673552,1.048276143,-0.365524205,0,248.05,77.32382465,11.66,61.52851543,0.841172956,-0.86552542,0,247.17,66.18942205,7.15,51.84849728,0.906385608,-0.656188837,0,389.51,82.44793888,25.41,70.04243192,0.914002643,-0.128749222,0,87.78,20.3237642,8.25,16.35985394,1.198490217,0.546093682,0,382.36,110.7495848,78.32,104.8501428,0.513856614,-1.179238824,0,480.59,134.0958714,68.42,114.4994157,0.967232459,-0.258223582,0,205.48,49.46935989,29.59,43.20280409,0.975204348,-0.083626046,0,1159.95,458.529717,653.73,520.6435435,-0.0749953,-1.828359185,0,1257.3,491.3846144,746.35,563.2990163,-0.124937739,-1.844032002,0
1,0.01,121.1715,34.98064737,60.5908,60.59075866,4.29E-09,-1.20000002,0,495.55,134.2956039,13.86,111.4207774,0.661735079,-1.243190424,0,332.97,104.2753065,7.7,84.34445618,0.728519684,-1.136231944,0,327.47,85.26808624,9.68,67.78364664,0.88265904,-0.674876442,0,297.66,61.45660161,11.99,44.36938686,1.534952902,1.507100475,0,89.32,9.455393162,0,5.277249546,2.054520124,5.036719598,0,379.17,98.27020011,41.03,78.68448506,1.194138727,0.258249658,0,206.14,41.98460932,6.05,28.44964186,1.593751569,1.630611724,0,119.35,31.67242006,3.52,20.8629188,1.501316954,0.877302027,0,391.49,127.9184909,8.69,94.47351543,0.950518201,-0.774618025,0,332.64,82.88440421,4.62,62.61080541,0.941217674,-0.640118771,0,302.5,81.51021941,4.73,59.43094488,1.069657658,-0.293428151,0,241.45,60.75118177,11.22,47.72029295,1.100551895,0.00704929,0,66.99,11.53387763,0,6.488665621,1.906062904,2.993668763,0,414.59,110.1755081,40.37,90.83690708,0.971292756,-0.344279739,0,311.19,74.25176335,12.76,55.46579799,1.168374537,0.142108966,0,142.89,38.91421468,10.56,30.94261512,0.975615127,-0.474194489,0,1046.43,373.3517908,542.795,441.1925623,-0.098335626,-1.728496388,0,1086.25,387.9180027,515.515,447.9695445,-0.06650004,-1.760849917,0
2,0.01,121.1715,34.98064737,60.5908,60.59075866,4.29E-09,-1.20000002,0,451.88,133.1900847,9.24,103.8780616,0.818913368,-0.981551221,0,353.65,110.0509247,3.85,84.8260307,0.840613475,-0.929812636,0,290.84,84.18835445,4.84,62.56722479,1.029194578,-0.403119804,0,278.74,63.54691637,8.58,45.87447516,1.425738643,1.017830762,0,55,12.54696388,0,8.00743357,1.602169475,1.443050057,0,343.31,93.39891536,25.3,71.01326952,1.272232141,0.382600492,0,260.15,46.06444011,6.05,30.27163146,1.622308192,1.833736693,0,109.01,31.35142528,8.8,22.70954448,1.344206257,0.416779398,0,410.08,123.3593977,6.93,87.21149117,1.067628744,-0.514588798,0,327.58,95.74340614,4.62,70.73954035,0.975275381,-0.635545713,0,291.17,76.57723942,0,53.45306486,1.202860057,0.058574295,0,258.94,70.09508051,11.22,55.55858723,1.016612717,-0.274919469,0,75.9,14.67103806,0,9.545463773,1.596964742,1.6715268,0,411.62,99.5019968,42.68,83.64753837,0.935030733,-0.412444729,0,314.16,75.65219105,15.4,56.83031358,1.144814994,-0.003681185,0,138.38,38.4462836,19.03,32.57114705,0.87460559,-0.656136318,0,1032.24,373.4051176,525.03,429.1476712,-0.039758594,-1.710934662,0,1099.56,390.2753023,522.39,449.5571464,-0.047633037,-1.735243508,0
3,0.01,121.1715,34.98064737,60.5908,60.59075866,4.29E-09,-1.20000002,0,455.07,119.8498325,14.41,87.84497607,1.128643886,-0.114197175,0,349.25,94.82753995,7.48,70.25901881,1.032970326,-0.476348299,0,408.65,114.2122362,7.81,86.64648622,0.957659743,-0.612070844,0,475.31,107.5861514,39.71,90.96932827,0.967738897,-0.16532964,0,77.88,16.96324608,0,12.02790725,1.336890012,0.723743507,0,370.04,104.7265409,57.42,92.9033149,0.812837019,-0.631865528,0,474.87,123.1998391,56.32,109.5226646,0.781167053,-0.668908737,0,210.76,59.46777449,20.24,50.50642103,0.84568592,-0.685002348,0,559.02,153.9881783,11.44,115.0090848,0.99581994,-0.526423334,0,391.27,111.5195516,10.45,82.00521786,1.040021112,-0.446707637,0,336.71,92.88310143,3.74,67.85339743,1.00417607,-0.524856339,0,455.18,117.534744,40.26,100.6463509,0.878410983,-0.542908046,0,146.96,35.99566636,8.47,28.43956593,1.067948561,-0.070658074,0,335.72,78.14539685,17.6,64.24157039,0.889730444,-0.523198268,0,390.5,113.9569622,20.13,91.18429031,0.951682828,-0.540019391,0,283.47,54.58773658,13.86,41.84745668,1.242491357,0.756869508,0,1304.93,498.2743108,800.305,600.6801172,-0.181994284,-1.787228923,0,1271.49,514.070749,739.585,591.2269343,-0.101261058,-1.825760844,0
4,0.01,121.1715,34.98064737,60.5908,60.59075866,4.29E-09,-1.20000002,0,580.69,146.0058412,8.25,102.2424039,1.194250283,0.032326858,0,358.27,110.2211651,11.22,79.03654316,1.121521161,-0.320299785,0,394.9,114.5858674,5.83,81.32007344,1.117031559,-0.297709161,0,417.34,111.380182,41.8,98.20088876,0.77548171,-0.711127131,0,75.79,18.6981101,0,13.15938769,1.208149096,0.150089476,0,374.66,109.224448,42.35,92.90356907,0.859078492,-0.603587557,0,425.81,114.6906138,54.12,101.985595,0.758889958,-0.738934741,0,194.04,57.81688417,18.04,47.11058178,0.912266504,-0.588340823,0,575.85,152.3959044,11.44,111.4806065,1.070560718,-0.325368744,0,449.13,139.0680401,12.54,101.1302038,1.069808633,-0.413289155,0,245.41,73.74750089,5.61,54.16998019,1.002373116,-0.558641992,0,425.26,124.7521557,37.73,107.1046254,0.825374938,-0.666596352,0,120.89,28.33064941,10.56,23.47523271,1.020944802,-0.148076039,0,343.2,92.56141593,25.19,78.17446196,0.801707486,-0.798390152,0,409.97,107.9819824,20.13,87.13588546,0.930346036,-0.592742921,0,169.18,51.68294183,8.36,39.75208285,0.957374153,-0.668947802,0,1427.69,531.6122218,827.53,615.9590427,-0.117048681,-1.790774442,0,1348.27,524.7678502,785.125,602.4230789,-0.113254437,-1.827865458,0
5,0.01,121.1715,34.98064737,60.5908,60.59075866,4.29E-09,-1.20000002,0,298.87,49.9443304,4.07,32.2610538,2.169386899,5.33960576,0,286.11,84.81899489,3.74,62.84237003,0.999272135,-0.502227759,0,270.27,78.7699357,3.85,59.73345849,0.911223497,-0.73123014,0,303.93,66.91400842,16.72,53.39957171,1.09941663,0.097655115,0,294.14,82.92464927,42.295,75.65105215,0.64784821,-0.956384199,0,217.03,53.61690265,8.47,32.04748061,1.882798886,2.325641599,0,421.19,99.96642491,15.73,63.60125021,1.732382548,1.903146121,0,217.8,24.54769235,13.53,18.82593085,2.354625742,8.687355439,0,292.71,48.02495001,0,26.83813005,2.688275179,8.016382008,0,331.54,94.1442916,4.18,68.4917932,1.013674593,-0.535047976,0,300.96,80.44905084,0,56.2536714,1.157838025,-0.120561198,0,274.67,70.41490662,15.07,56.9537663,0.960125145,-0.381931135,0,235.18,67.56308483,19.03,56.84569979,0.848426028,-0.678660926,0,252.34,64.99857902,7.48,40.27834544,1.722946322,1.706106967,0,407.55,104.5303956,12.1,67.4250982,1.596765864,1.326186507,0,269.06,53.56216201,13.86,34.82532101,2.098354728,3.997120655,0,982.85,343.1555127,562.32,398.3621678,-0.100385092,-1.730714444,0,1019.37,345.2437719,568.315,407.9118254,-0.090383821,-1.622084259,0
6,0.01,121.1715,34.98064737,60.5908,60.59075866,4.29E-09,-1.20000002,0,308.55,53.33107512,0,31.8524344,2.332157841,5.839703516,0,294.36,86.02599629,3.74,61.77839825,1.063202597,-0.410319509,0,272.47,79.53249629,3.85,57.84038373,1.042140865,-0.45053414,0,299.75,69.76761722,14.63,54.90351626,1.130322205,0.160926005,0,282.92,81.26904296,36.85,73.38542251,0.66120575,-0.949364714,0,230.78,56.91586738,10.56,35.85918303,1.712386842,1.668387705,0,428.01,101.717969,18.04,67.01342878,1.587541758,1.362927308,0,210.76,25.72491319,11.22,19.27283875,2.496501691,9.542526252,0,297.55,50.68636795,0,28.34069483,2.577664359,7.060741213,0,395.45,94.01480543,0,67.03694834,1.069923615,-0.364614643,0,312.84,78.35234595,0,54.1529419,1.199729675,0.02901605,0,267.41,70.11045811,15.07,57.64332233,0.923267633,-0.428855039,0,227.92,68.1409044,19.03,57.87257221,0.79975297,-0.79085207,0,254.76,66.36712383,12.54,42.95047037,1.630279003,1.362969049,0,405.13,108.4868456,12.1,70.89645238,1.551185279,1.140714977,0,254.98,49.68633264,13.86,32.92138059,2.042619684,3.866453674,0,938.08,345.1616779,571.01,401.9056057,-0.10871041,-1.744623511,0,994.18,348.809017,579.59,411.814783,-0.104556981,-1.651283452,0
7,0.01,121.1715,34.98064737,60.5908,60.59075866,4.29E-09,-1.20000002,0,275.66,78.94254046,15.18,65.52812923,0.727622939,-1.062616727,0,268.18,84.84722991,19.69,74.48314408,0.600077501,-1.282384049,0,244.09,80.66989409,23.32,73.03939181,0.518506521,-1.393484187,0,325.6,93.52208056,70.73,89.29777851,0.634091377,-0.922414014,0,137.17,35.38291072,6.27,27.55550833,1.045485317,-0.265251395,0,360.14,102.8946427,24.75,83.16248721,1.038336093,-0.249639609,0,207.68,55.66180788,12.87,43.61290312,1.066433959,-0.203413721,0,269.72,63.02967976,35.2,56.84478297,0.814645628,-0.498974383,0,296.34,81.91799997,4.62,57.89733537,1.084887478,-0.403498446,0,286.22,85.18999786,6.38,64.34950074,0.930676406,-0.733113176,0,253,86.54260534,11,71.19841228,0.678897902,-1.253852541,0,288.09,80.43401807,51.59,78.15494554,0.42577773,-1.366766003,0,190.96,57.85479864,16.39,48.60799059,0.862813748,-0.741709328,0,283.58,79.54811981,22.88,65.46422429,0.933657529,-0.527756816,0,383.57,108.8109984,20.13,83.84007014,1.093623853,-0.217382433,0,301.07,87.06927206,13.42,60.68467074,1.345216508,0.343309161,0,1092.96,416.1098371,644.82,513.5241253,-0.187273796,-1.711025465,0,1163.47,437.0600763,708.62,530.1971497,-0.172473947,-1.73895018,0
8,0.01,121.1715,34.98064737,60.5908,60.59075866,4.29E-09,-1.20000002,0,287.21,82.97918208,7.59,64.10798729,0.888925488,-0.784909636,0,246.95,80.23385063,9.79,66.04617676,0.733397869,-1.112630127,0,253.33,87.6019766,16.17,75.2745123,0.619328675,-1.323237141,0,327.36,95.98987003,66,90.52082274,0.626508088,-1.003430674,0,152.13,39.83799842,9.46,31.43321258,0.991727236,-0.469907854,0,384.12,116.8732584,24.75,93.54212824,1.004728315,-0.411367592,0,260.04,66.03572541,12.87,50.7205661,1.051835452,-0.326277829,0,307.01,71.36775422,30.8,62.35667437,0.848327701,-0.48730473,0,293.26,84.54820043,0,57.32058425,1.176516356,-0.216098876,0,270.93,86.90566938,6.38,64.60778016,0.970738928,-0.704540848,0,263.67,87.85192322,8.25,69.96080789,0.746795209,-1.165006454,0,257.51,83.32295318,46.86,79.90959894,0.432399726,-1.418877608,0,195.8,58.49254043,18.81,49.6560406,0.838677054,-0.783941201,0,286.11,83.89873852,25.19,69.58569318,0.881219828,-0.686354867,0,395.01,115.9187894,22.66,89.39441657,1.061046769,-0.343496293,0,298.65,88.57898901,17.27,63.17002806,1.291215083,0.158800047,0,1166,438.2025773,684.86,534.0020804,-0.174932328,-1.724490221,0,1180.74,454.1772275,738.54,543.6049497,-0.163266887,-1.767471006,0
9,0.01,121.1715,34.98064737,60.5908,60.59075866,4.29E-09,-1.20000002,0,194.37,49.70281953,0,31.37492656,1.483846521,0.798648258,0,315.04,85.04600578,0,57.36666117,1.210018567,-0.039752817,0,304.59,83.87671336,0,55.98327364,1.248840192,0.089188881,0,363.33,93.13722231,22.99,80.48212906,0.787305959,-0.673594733,0,291.83,85.85974358,23.87,74.29634923,0.726799267,-0.933755633,0,367.62,90.2530933,12.65,62.24352451,1.419783569,0.780775351,0,437.14,107.2824221,22.55,77.27014359,1.342197548,0.611797354,0,325.38,43.88035286,15.73,26.85959812,3.393664338,13.78296185,0,194.81,40.40032672,0,25.89292705,1.525508562,1.09962454,0,362.45,95.69219931,0,64.55200858,1.162970691,-0.236580413,0,296.12,84.96336213,0,54.94355669,1.286602303,0.121095405,0,375.98,94.64312928,22.66,81.57573857,0.773337473,-0.701147115,0,294.14,80.39063237,25.41,70.03433487,0.731641883,-0.872232829,0,416.24,103.8120103,17.6,74.66766958,1.293469199,0.406320081,0,499.84,125.5434433,18.15,91.28435963,1.252248311,0.318618467,0,358.16,48.88107752,22.33,34.31982753,2.721905852,9.506559735,0,1071.62,406.8333012,627.825,465.8766059,-0.096785779,-1.777673459,0,1163.91,435.9006109,670.065,497.2704225,-0.085493864,-1.770281377,0
